pixel,flux_adu
2.850000000000000000e+02,7.515000000000011369e+02
2.860000000000000000e+02,7.244999999999984084e+02
2.870000000000000000e+02,8.710000000000006821e+02
2.880000000000000000e+02,8.905000000000009095e+02
2.890000000000000000e+02,8.645000000000004547e+02
2.900000000000000000e+02,8.075000000000002274e+02
2.910000000000000000e+02,9.125000000000015916e+02
2.920000000000000000e+02,8.584999999999993179e+02
2.930000000000000000e+02,7.354999999999993179e+02
2.940000000000000000e+02,6.995000000000000000e+02
2.950000000000000000e+02,5.084999999999991473e+02
2.960000000000000000e+02,5.409999999999997726e+02
2.970000000000000000e+02,6.814999999999988631e+02
2.980000000000000000e+02,7.405000000000004547e+02
2.990000000000000000e+02,6.690000000000000000e+02
3.000000000000000000e+02,6.905000000000004547e+02
3.010000000000000000e+02,6.475000000000000000e+02
3.020000000000000000e+02,5.935000000000009095e+02
3.030000000000000000e+02,4.964999999999990905e+02
3.040000000000000000e+02,5.620000000000013642e+02
3.050000000000000000e+02,7.049999999999993179e+02
3.060000000000000000e+02,7.344999999999997726e+02
3.070000000000000000e+02,6.115000000000009095e+02
3.080000000000000000e+02,5.875000000000002274e+02
3.090000000000000000e+02,5.435000000000011369e+02
3.100000000000000000e+02,6.584999999999997726e+02
3.110000000000000000e+02,7.705000000000004547e+02
3.120000000000000000e+02,7.739999999999988631e+02
3.130000000000000000e+02,6.884999999999995453e+02
3.140000000000000000e+02,7.089999999999995453e+02
3.150000000000000000e+02,6.724999999999986358e+02
3.160000000000000000e+02,6.940000000000004547e+02
3.170000000000000000e+02,5.444999999999993179e+02
3.180000000000000000e+02,5.824999999999990905e+02
3.190000000000000000e+02,5.979999999999988631e+02
3.200000000000000000e+02,7.070000000000006821e+02
3.210000000000000000e+02,6.039999999999993179e+02
3.220000000000000000e+02,5.349999999999995453e+02
3.230000000000000000e+02,6.459999999999988631e+02
3.240000000000000000e+02,5.745000000000009095e+02
3.250000000000000000e+02,4.855000000000004547e+02
3.260000000000000000e+02,4.550000000000015916e+02
3.270000000000000000e+02,5.714999999999990905e+02
3.280000000000000000e+02,7.785000000000009095e+02
3.290000000000000000e+02,6.864999999999988631e+02
3.300000000000000000e+02,7.339999999999984084e+02
3.310000000000000000e+02,7.659999999999988631e+02
3.320000000000000000e+02,7.655000000000002274e+02
3.330000000000000000e+02,6.440000000000002274e+02
3.340000000000000000e+02,6.139999999999988631e+02
3.350000000000000000e+02,6.310000000000000000e+02
3.360000000000000000e+02,6.660000000000006821e+02
3.370000000000000000e+02,6.554999999999988631e+02
3.380000000000000000e+02,5.785000000000000000e+02
3.390000000000000000e+02,5.279999999999988631e+02
3.400000000000000000e+02,5.529999999999990905e+02
3.410000000000000000e+02,7.100000000000011369e+02
3.420000000000000000e+02,6.585000000000006821e+02
3.430000000000000000e+02,7.004999999999995453e+02
3.440000000000000000e+02,8.300000000000002274e+02
3.450000000000000000e+02,9.040000000000011369e+02
3.460000000000000000e+02,9.110000000000013642e+02
3.470000000000000000e+02,8.325000000000015916e+02
3.480000000000000000e+02,8.419999999999990905e+02
3.490000000000000000e+02,7.689999999999988631e+02
3.500000000000000000e+02,6.989999999999995453e+02
3.510000000000000000e+02,6.860000000000006821e+02
3.520000000000000000e+02,6.900000000000009095e+02
3.530000000000000000e+02,7.855000000000013642e+02
3.540000000000000000e+02,7.584999999999993179e+02
3.550000000000000000e+02,6.640000000000006821e+02
3.560000000000000000e+02,7.339999999999986358e+02
3.570000000000000000e+02,6.994999999999997726e+02
3.580000000000000000e+02,7.665000000000009095e+02
3.590000000000000000e+02,7.894999999999990905e+02
3.600000000000000000e+02,9.515000000000004547e+02
3.610000000000000000e+02,1.045000000000000000e+03
3.620000000000000000e+02,1.107499999999998863e+03
3.630000000000000000e+02,1.133999999999999773e+03
3.640000000000000000e+02,1.144999999999998636e+03
3.650000000000000000e+02,1.249500000000000682e+03
3.660000000000000000e+02,1.253500000000000000e+03
3.670000000000000000e+02,1.081500000000001364e+03
3.680000000000000000e+02,1.049499999999998636e+03
3.690000000000000000e+02,1.081499999999998636e+03
3.700000000000000000e+02,1.073500000000001137e+03
3.710000000000000000e+02,1.230499999999998408e+03
3.720000000000000000e+02,1.395000000000000909e+03
3.730000000000000000e+02,1.353999999999999318e+03
3.740000000000000000e+02,1.333500000000000000e+03
3.750000000000000000e+02,1.473000000000000000e+03
3.760000000000000000e+02,1.677499999999998863e+03
3.770000000000000000e+02,1.802999999999998636e+03
3.780000000000000000e+02,1.905499999999998408e+03
3.790000000000000000e+02,1.981500000000001592e+03
3.800000000000000000e+02,1.952499999999999091e+03
3.810000000000000000e+02,1.904000000000001364e+03
3.820000000000000000e+02,1.810999999999999091e+03
3.830000000000000000e+02,1.612500000000000682e+03
3.840000000000000000e+02,1.533000000000000455e+03
3.850000000000000000e+02,1.583500000000001364e+03
3.860000000000000000e+02,1.304999999999998408e+03
3.870000000000000000e+02,1.365999999999998636e+03
3.880000000000000000e+02,1.398500000000000455e+03
3.890000000000000000e+02,1.443500000000001364e+03
3.900000000000000000e+02,1.535499999999998863e+03
3.910000000000000000e+02,1.773000000000000909e+03
3.920000000000000000e+02,2.067500000000000000e+03
