pixel,flux_adu
2.130000000000000000e+02,2.614253526258967213e+03
2.140000000000000000e+02,2.178159453169274002e+03
2.150000000000000000e+02,1.960380048425541872e+03
2.160000000000000000e+02,2.048883239966827659e+03
2.170000000000000000e+02,1.930322628020659977e+03
2.180000000000000000e+02,1.781341657965145487e+03
2.190000000000000000e+02,1.716515936667191227e+03
2.200000000000000000e+02,1.511494334205350015e+03
2.210000000000000000e+02,1.278270777685236453e+03
2.220000000000000000e+02,1.789987947204102966e+03
2.230000000000000000e+02,1.790533564323355677e+03
2.240000000000000000e+02,2.159711367771740697e+03
2.250000000000000000e+02,1.721817342986029416e+03
2.260000000000000000e+02,1.598915492561097381e+03
2.270000000000000000e+02,1.715845642702697205e+03
2.280000000000000000e+02,1.990425267543609380e+03
2.290000000000000000e+02,2.325060700708499553e+03
2.300000000000000000e+02,2.869629676412542267e+03
2.310000000000000000e+02,2.553191381690897742e+03
2.320000000000000000e+02,2.153536414350166069e+03
2.330000000000000000e+02,1.847643261887290009e+03
2.340000000000000000e+02,1.844755011550289055e+03
2.350000000000000000e+02,2.285877117128877217e+03
2.360000000000000000e+02,1.876370595982017221e+03
2.370000000000000000e+02,2.322317069620544771e+03
2.380000000000000000e+02,2.094966565441180137e+03
2.390000000000000000e+02,2.195734058618560539e+03
2.400000000000000000e+02,2.406395439595584776e+03
2.410000000000000000e+02,2.343689598779758398e+03
2.420000000000000000e+02,1.709622742219560450e+03
2.430000000000000000e+02,1.309411436839210410e+03
2.440000000000000000e+02,1.253823083938612399e+03
2.450000000000000000e+02,1.928366430679153154e+03
2.460000000000000000e+02,2.014514885623160808e+03
2.470000000000000000e+02,1.788310528124189204e+03
2.480000000000000000e+02,1.718724386519352493e+03
2.490000000000000000e+02,1.589696878046005850e+03
2.500000000000000000e+02,1.917779382566381855e+03
2.510000000000000000e+02,1.722215383987687119e+03
2.520000000000000000e+02,1.557755358767529970e+03
2.530000000000000000e+02,2.117180588601032923e+03
2.540000000000000000e+02,2.681840236826598812e+03
2.550000000000000000e+02,2.331676781558473522e+03
2.560000000000000000e+02,1.664165475474465893e+03
2.570000000000000000e+02,1.650498359927429419e+03
2.580000000000000000e+02,1.115646125173372411e+03
2.590000000000000000e+02,1.286128183916230910e+03
2.600000000000000000e+02,2.424039641304016641e+03
2.610000000000000000e+02,2.893392069119305233e+03
2.620000000000000000e+02,1.993331894914352006e+03
2.630000000000000000e+02,1.874742201635723177e+03
2.640000000000000000e+02,1.408491763957636749e+03
2.650000000000000000e+02,1.854895720257724633e+03
2.660000000000000000e+02,1.893888948997197531e+03
2.670000000000000000e+02,1.595296641581771837e+03
2.680000000000000000e+02,2.012998291205441092e+03
2.690000000000000000e+02,1.642529810791136242e+03
2.700000000000000000e+02,1.653325349019927671e+03
2.710000000000000000e+02,1.729972702683378429e+03
2.720000000000000000e+02,1.557042333425144079e+03
2.730000000000000000e+02,1.987143593476834667e+03
2.740000000000000000e+02,1.915685705763905389e+03
2.750000000000000000e+02,1.633760211681193823e+03
2.760000000000000000e+02,1.565910671511956707e+03
2.770000000000000000e+02,1.786513486201138221e+03
2.780000000000000000e+02,1.973643772615897205e+03
2.790000000000000000e+02,1.859371676839606380e+03
2.800000000000000000e+02,1.706230682868429312e+03
2.810000000000000000e+02,1.581915013238110305e+03
2.820000000000000000e+02,1.779710074983357117e+03
2.830000000000000000e+02,1.677762217489341538e+03
2.840000000000000000e+02,1.578033162797211844e+03
2.850000000000000000e+02,1.720496334552346298e+03
2.860000000000000000e+02,1.551369375668187331e+03
2.870000000000000000e+02,1.622788266472571195e+03
2.880000000000000000e+02,1.633463028735775652e+03
2.890000000000000000e+02,1.736044266776329096e+03
2.900000000000000000e+02,1.901220509451827184e+03
2.910000000000000000e+02,1.565109479615690589e+03
2.920000000000000000e+02,1.310614493394997680e+03
2.930000000000000000e+02,1.598941156387616275e+03
2.940000000000000000e+02,2.188344772871133046e+03
2.950000000000000000e+02,2.097011998866979866e+03
